Collection,Url,Size
hoodies,https://kith.com/products/kith-williams-iii-contrast-hoodie-scarab,S XXL 
hoodies,https://kith.com/products/kith-williams-iii-hoodie-light-heather-grey,S XXL 
hoodies,https://kith.com/products/kith-corduroy-double-pocket-hoodie-cinder,XS S 
Sneakers,https://kith.com/products/common-projects-wmns-new-track-contrast-tan,36 37 38 39 
hoodies,https://kith.com/products/kith-corduroy-double-pocket-hoodie-cinder,XXL 
hoodies,https://kith.com/products/kith-corduroy-double-pocket-hoodie-cinder,XS S XXL 
